タイトル,発売日,カテゴリ,リンク種別,URL
"ぷよぷよ ヴォーカルトラックス","2013.03.27","consumer","なし",""
"特殊報道部 オリジナルサウンドトラック","2013.02.27","consumer","なし",""
"烈火・武者アレスタ・スプリガンズ ナグザット シューティングコレクション","2012.11.28","consumer","なし",""
"マックス アナーキー オリジナルサウンドトラック","2012.07.04","consumer","なし",""
"ベア・ナックル オリジナルサウンドトラック","2012.06.27","consumer","なし",""
"ゲーム アーツ ベストコレクション","2012.02.16","consumer","なし",""
"リズム怪盗R 皇帝ナポレオンの遺産 オリジナル サウンドトラック","2012.02.15","consumer","なし",""
"Shinobi 3D Original Soundtrack","2012.01.25","consumer","なし",""
"ぷよぷよ！！オリジナルサウンドトラック","2012.01.25","consumer","なし",""
"サンソフト ミュージックコレクション Vol.3","2011.12.30","consumer","なし",""
"サンソフト ミュージックコレクション Vol.4","2011.12.14","consumer","なし",""
"ソーサリアン オリジナルサウンドトラック Vol.2","2011.10.12","consumer","なし",""
"サンソフト ミュージックコレクション Vol.2","2011.10.12","consumer","なし",""
"ソーサリアン オリジナルサウンドトラック Vol.1","2011.08.24","consumer","なし",""
"サンソフト ミュージックコレクション Vol.1","2011.08.24","consumer","なし",""
"きく コロぱた 〜コロぱた サウンドトラック","2011.04.27","consumer","なし",""
"夢幻戦士ヴァリス -PC SOUND ORCHESTRA-","2011.04.27","consumer","なし",""
"メガドライブ ラストアクションヒーローズ","2010.12.29","consumer","なし",""
"VANQUISH Original Soundtrack","2010.10.27","consumer","なし",""
"スーパー32X 15th アニバーサリー アルバム","2010.03.31","consumer","なし",""
"PHANTASY STAR PORTABLE 2 Original Sound Track ""Wings of Universe""","2010.01.13","consumer","なし",""
"ぷよぷよ７ オリジナルサウンドトラック","2009.12.11","consumer","なし",""
"BAYONETTA Original Soundtrack","2009.11.04","consumer","なし",""
"ぷよぷよのうた","2009.07.29","consumer","なし",""
"無限航路 オリジナルサウンドトラック","2009.07.29","consumer","なし",""
"ヴァーミリオン対レンタヒーロー オリジナルサウンドトラック","2009.02.25","consumer","外部","http://ebten.jp/sega/p/4571164389721/"
"熱血硬派くにおくん 音楽集","2008.11.21","consumer","なし",""
"ソーサリアン メガドライブバージョン オリジナルサウンドトラック","2008.10.29","consumer","外部","http://ebten.jp/sega/p/4571164389707/"
"NiGHTS into dreams…perfect album","2008.02.21","consumer","外部","http://ebten.jp/sega/p/4571164389615/"
"TRUE BLUE: THE BEST OF SONIC THE HEDGEHOG VOCAL COLLECTION","2008.01.23","consumer","外部","https://www.amazon.co.jp/dp/B000WZO662"
"どきどき魔女神判 〜うきうきサマーバケーション〜 シモベと魔女とビーチの話","2007.11.29","consumer","なし",""
"探偵 神宮寺三郎DS いにしえの記憶 オリジナル サウンドトラック","2007.11.22","consumer","なし",""
"ホームスター ポータブル オリジナルサウンドトラック","2007.11.22","consumer","外部","http://ebten.jp/sega/p/4571164389431/"
"KOF MAXIMUM IMPACT REGULATION ""A"" ORIGINAL SOUND TRACK","2007.08.22","consumer","なし",""
"ぷよぷよフィーバー１＆２サウンドトラック","2007.07.26","consumer","外部","http://ebten.jp/sega/p/4571164389424/"
"どきどき魔女神判！ オリジナルサウンドトラックス","2007.07.25","consumer","なし",""
"クロスワード天国 クロ天のうた ササキトモコと巻き舌一家","2007.06.21","consumer","外部","http://ebten.jp/sega/p/4571164389318/"
"タッチ・デ・ウノー！DS オリジナルサウンドトラック","2007.06.21","consumer","外部","http://ebten.jp/sega/p/4571164389387/"
"ルーマニア203 ポロリ青春 ポロリ青春名曲アルバム 増量版","2007.06.21","consumer","外部","http://ebten.jp/sega/p/4571164389361/"
"SHINING WIND Music Collection","2007.05.31","consumer","外部","http://ebten.jp/sega/p/4571164389356/"
"ぷよぷよ! ORIGINAL SOUNDTRACK","2007.03.21","consumer","なし",""
"ブラック・ジャック 火の鳥編 Original Sound Track","2007.03.08","consumer","外部","http://ebten.jp/sega/p/4571164389264/"
"SONIC THE HEDGEHOG VOCAL TRAXX SEVERAL WILLS","2007.01.10","consumer","外部","http://www.amazon.co.jp/dp/B000KF0TRO/"
"SONIC THE HEDGEHOG ORIGINAL SOUND TRACK","2007.01.10","consumer","外部","http://ebten.jp/sega/p/4571164389240/"
"ファンタシースターユニバース PHANTASY STAR UNIVERSE FOR BRIGHTER DAY","2006.10.12","consumer","外部","http://ebten.jp/sega/p/4571164380360/"
"PHANTASY STAR UNIVERSE SAVE THIS WORLD PHANTASY STAR UNIVERSE ORIGINAL SCORE","2006.09.13","consumer","外部","http://www.amazon.co.jp/dp/B000GPIHX6/"
"セガガガ / SGGG5","2006.07.20","consumer","外部","http://ebten.jp/sega/p/4571164389165/"
"セガ シミュレーション ベスト 〜アドバンスド大戦略 オリジナルサウンドトラック〜","2006.04.27","consumer","外部","http://ebten.jp/sega/p/4571164389080/"
"パンツァードラグーン オリジナルサウンドトラック","2006.04.27","consumer","外部","http://ebten.jp/sega/p/4571164389127/"
"SONIC RIDERS ORIGINAL SOUNDTRACK","2006.03.16","consumer","外部","http://ebten.jp/sega/p/4571164389073/"
"シャドウ ザ ヘッジホッグ ORIGINAL SOUNDTRAX","2006.02.22","consumer","外部","http://ebten.jp/sega/p/4571164389035/"
"シャドウ ザ ヘッジホッグ LOST AND FOUND SHADOW THE HEDGEHOG VOCAL TRACKS","2006.02.22","consumer","外部","https://www.amazon.co.jp/dp/B000CQM0UU"
"セガラリー 2006 ORIGINAL SOUND TRACK","2006.01.18","consumer","なし",""
"あかどこ & きみしね 〜愛の伝説CD〜","2005.11.24","consumer","外部","http://ebten.jp/sega/p/4571164389004/"
"新撰組 / ですくとっぷあくせさりぃ","2005.08.11","consumer","なし",""
"セガサターンヒストリー ビジュアルコレクション Vol.2","2005.05.25","consumer","なし",""
"Shining Theme Music Shiro SAGISU Collection","2005.03.30","consumer","なし",""
"セガサターンヒストリー ヴォーカルコレクション","2005.03.24","consumer","なし",""
"セガサターンヒストリー ビジュアルコレクション Vol.1","2005.03.24","consumer","なし",""
"チュンソフトゲームミュージック グレイテストコレクション / V.A.","2004.12.15","consumer","なし",""
"風来のシレン 20th スペシャルコレクション","2004.12.15","consumer","なし",""
"セガサターンヒストリー 〜サターンが青春だった〜 上巻","2004.10.27","consumer","なし",""
"セガサターンヒストリー 〜サターンが青春だった〜 下巻","2004.10.27","consumer","なし",""
"セラニポージ / オチャメカン","2004.06.30","consumer","なし",""
"RADIO DC / V.A.","2004.05.12","consumer","なし",""
"鉄腕アトム ASTRO BOY","2004.04.07","consumer","なし",""
"頭文字D / SPECIAL STAGE SEGA ORIGINAL TRACKS","2004.03.10","consumer","なし",""
"Phantasy Star Online episodeIII C.A.R.D.Revolution LET THE WINDS BLOW","2003.12.10","consumer","なし",""
"セラニポージ / Bomber Minmi","2003.12.03","consumer","なし",""
"ジャイアントエッグ / MUSIC POPPRD OUT OF THE EGG","2003.11.06","consumer","なし",""
"スカイガンナー オリジナルサウンドトラックス","2003.07.21","consumer","なし",""
"segaGT2002サウンドトラック","2002.11.05","consumer","なし",""
"イーハトーヴォ物語 オリジナルサウンドトラック","2002.09.05","consumer","なし",""
"ふたりのファンタビジョン オリジナルサウンドトラック","2002.08.05","consumer","なし",""
"侍 〜SAMURAI〜 オリジナルサウンドトラック","2002.05.20","consumer","なし",""
"サウンドアドヴェンチャー オホーツクに消ゆ","2002.01.20","consumer","なし",""
"GO SEGA - 60th ANNIVERSARY Album -","2021.03.24","sonic","内部","https://music.sega.co.jp/release/consumer/gosega.html"
"Sonic The Hedgehog DJ Style ""PARTY""","2020.06.17","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20200415_002204/"
"JUN SENOUE / THE WORKS III","2019.06.19","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20190531_001916/"
"MAXIMUM OVERDRIVE - TEAM SONIC RACING ORIGINAL SOUNDTRACK","2019.05.29","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20190529_001913/"
"Sonic Forces Vocal Traxx - On The Edge","2017.12.13","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20171012_001458/"
"Sonic Forces Original Soundtrack - A Hero Will Rise","2017.12.13","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20171012_001458/"
"Sonic Runners Complete Soundtrack","2016.09.14","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20160701_001079/"
"SONIC THE HEDGEHOG 25TH ANNIVERSARY SELECTION","2016.06.22","sonic","外部","http://sonic.sega.jp/SonicChannel/topics/sound/20160610_001059/"
"JUN SENOUE / The Works II","2016.02.24","sonic","外部","http://sonic.sega.jp/SonicChannel/soundcolumn/senoue/20160212_000987/"
